,Date,Open,Hign,Low,Close,Volume
270,2024-06-13,155.21,155.21,146.03,147.29,2573289.111
271,2024-06-14,147.29,149.0,139.67,143.05,3183461.493
272,2024-06-15,143.04,145.78,142.92,145.52,1346924.922
273,2024-06-16,145.52,151.35,143.08,151.3,1405879.427
274,2024-06-17,151.3,151.79,139.85,143.27,3412959.812
275,2024-06-18,143.28,143.82,127.95,137.41,6557976.71
276,2024-06-19,137.41,141.9,134.47,135.62,3536777.468
277,2024-06-20,135.62,141.29,131.9,133.55,3507680.508
278,2024-06-21,133.55,135.38,128.76,134.6,3230074.027
279,2024-06-22,134.61,136.74,133.0,133.69,1399215.891
280,2024-06-23,133.7,135.09,128.22,128.69,1492401.231
281,2024-06-24,128.68,132.66,122.0,132.33,5583497.777
282,2024-06-25,132.34,139.9,131.2,136.58,3963661.704
283,2024-06-26,136.57,140.41,134.85,136.81,2503428.066
284,2024-06-27,136.81,151.21,135.2,149.71,4450967.436
285,2024-06-28,149.71,150.84,139.01,140.03,3339031.267
286,2024-06-29,140.03,143.26,139.67,140.28,1468985.543
287,2024-06-30,140.28,147.62,137.09,146.61,2086670.189
288,2024-07-01,146.61,149.36,145.87,146.67,2280252.836
289,2024-07-02,146.68,155.0,146.14,154.03,2776061.292
290,2024-07-03,154.03,154.5,139.01,140.84,4189341.933
291,2024-07-04,140.84,142.75,127.2,127.86,5230812.158
292,2024-07-05,127.85,136.58,121.0,134.32,7669471.231
293,2024-07-06,134.32,144.35,132.33,143.05,2873919.136
294,2024-07-07,143.05,143.33,131.23,131.64,2590805.369
295,2024-07-08,131.64,142.0,127.77,139.81,5708358.008
296,2024-07-09,139.81,144.33,136.45,141.42,3363673.606
297,2024-07-10,141.43,146.2,138.6,141.98,2700825.893
298,2024-07-11,141.99,146.1,135.64,135.73,3363094.13
299,2024-07-12,135.73,140.55,133.92,139.46,2929528.431
300,2024-07-13,139.47,143.6,137.94,141.9,1357177.621
301,2024-07-14,141.89,148.56,141.87,147.66,2997466.757
302,2024-07-15,147.66,159.95,147.0,159.38,3428848.522
303,2024-07-16,159.37,162.49,152.57,160.62,3988105.454
304,2024-07-17,160.62,163.8,154.68,155.5,2840583.09
305,2024-07-18,155.5,161.6,155.07,159.22,2584704.124
306,2024-07-19,159.22,172.42,156.07,169.13,4685513.24
307,2024-07-20,169.12,175.1,167.27,173.6,2047796.046
308,2024-07-21,173.6,185.17,170.27,184.49,3684536.411
309,2024-07-22,184.49,185.0,176.71,178.9,3345609.525
310,2024-07-23,178.9,180.54,169.72,173.03,3895827.332
311,2024-07-24,173.03,182.5,170.9,178.06,3845177.713
312,2024-07-25,178.07,179.59,165.42,171.85,4859387.428
313,2024-07-26,171.86,185.01,171.69,183.06,3030603.246
314,2024-07-27,183.07,188.33,178.11,183.92,3518852.056
315,2024-07-28,183.92,186.77,181.16,184.9,1901473.957
316,2024-07-29,184.91,193.98,181.57,182.57,4024560.314
317,2024-07-30,182.57,184.95,175.39,179.16,3074498.493
318,2024-07-31,179.16,185.1,171.61,171.71,3250862.527
319,2024-08-01,171.7,172.91,157.91,167.37,5523497.615
320,2024-08-02,167.37,169.43,150.0,152.77,5553017.934
321,2024-08-03,152.78,154.05,140.0,142.52,5444954.693
322,2024-08-04,142.53,146.08,131.22,138.33,7037715.285
323,2024-08-05,138.32,139.37,110.0,129.78,24267557.819
324,2024-08-06,129.79,149.59,129.4,144.4,8362643.634
325,2024-08-07,144.4,155.0,142.21,144.77,8372307.587
326,2024-08-08,144.78,163.7,141.4,163.13,7303133.96
327,2024-08-09,163.12,163.54,150.72,156.28,4098735.233
328,2024-08-10,156.29,158.75,152.54,154.01,1885839.233
329,2024-08-11,154.01,158.0,141.2,141.57,3468314.255
330,2024-08-12,141.56,150.79,141.2,146.29,4946945.239
331,2024-08-13,146.29,149.82,142.92,146.65,2865655.423
332,2024-08-14,146.65,152.18,142.36,143.71,3927148.647
333,2024-08-15,143.7,147.64,137.78,142.58,4229038.816
334,2024-08-16,142.58,144.88,136.1,139.04,4035320.605
335,2024-08-17,139.04,141.99,137.61,141.93,1561594.103
336,2024-08-18,141.92,147.31,140.56,142.42,2352046.743
337,2024-08-19,142.42,146.19,140.33,144.29,2940357.953
338,2024-08-20,144.28,148.83,141.0,142.27,3021467.596
339,2024-08-21,142.27,144.42,138.7,142.79,2519581.859
340,2024-08-22,142.78,144.88,140.63,143.22,1825402.718
341,2024-08-23,143.23,154.08,142.68,153.26,3781090.162
342,2024-08-24,153.27,162.3,151.97,160.67,3739086.949
343,2024-08-25,160.67,162.0,155.25,158.92,2629083.703
344,2024-08-26,158.92,162.0,155.53,157.12,3318398.041
345,2024-08-27,157.12,159.69,145.03,146.79,3650375.766
346,2024-08-28,146.78,149.3,140.53,143.95,4270867.034
347,2024-08-29,143.96,147.36,138.05,140.0,2921816.829
348,2024-08-30,140.01,141.11,132.04,137.99,4038797.169
349,2024-08-31,137.99,139.23,134.49,135.35,1230210.745
350,2024-09-01,135.35,136.15,127.66,128.5,2928444.741
351,2024-09-02,128.5,135.39,126.8,134.94,3146315.554
352,2024-09-03,134.95,138.13,127.15,127.54,2627381.925
353,2024-09-04,127.54,134.98,122.6,133.64,3814059.109
354,2024-09-05,133.64,135.58,127.85,129.41,2762037.052
355,2024-09-06,129.4,134.29,120.0,125.05,5494252.37
356,2024-09-07,125.05,129.5,124.13,127.71,2111596.965
357,2024-09-08,127.72,131.7,126.61,130.15,1971919.866
358,2024-09-09,130.15,137.09,126.96,135.08,3664956.878
359,2024-09-10,135.07,138.0,132.5,135.63,2305171.22
360,2024-09-11,135.64,135.91,128.2,132.42,3139383.418
361,2024-09-12,132.43,136.78,132.38,136.05,2273359.309
362,2024-09-13,136.06,139.8,131.7,139.02,2714532.025
363,2024-09-14,139.02,139.8,135.6,137.14,1396833.298
364,2024-09-15,137.15,137.95,130.43,131.37,1850456.74
365,2024-09-16,131.38,132.4,129.25,131.94,957160.654
